route_key,api_id,route_id,api_gateway_managed,api_key_required,authorization_type,authorizer_id,model_selection_expression,operation_name,route_response_selection_expression,target,authorization_scopes,request_models,request_parameters,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx
GET /practitioner/numeroconselhouf/{numeroconselho}/{uf},8qrolkeoo1,lf0cof7,,false,CUSTOM,d37m4h,,,,integrations/i2krfsn,,,,lf0cof7,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/lf0cof7""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /practitioner/erp/{id_tasy},8qrolkeoo1,o38gldp,,false,CUSTOM,d37m4h,,,,integrations/zfk93w1,,,{},o38gldp,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/o38gldp""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /test-auth,8qrolkeoo1,ugur100,,false,CUSTOM,d37m4h,,,,integrations/2w007u5,,,,ugur100,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/routes/ugur100""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /encounter/create,szo9hxfrb0,2neif2e,,false,CUSTOM,2hm6sf,,,,integrations/slyltz3,[],,{},2neif2e,"[""arn:aws:apigateway:sa-east-1::/apis/szo9hxfrb0/routes/2neif2e""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /encounter,szo9hxfrb0,r5zjus0,,false,CUSTOM,2hm6sf,,,,integrations/eqktrc6,,,{},r5zjus0,"[""arn:aws:apigateway:sa-east-1::/apis/szo9hxfrb0/routes/r5zjus0""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
PUT /encounter/update/{idFhir},szo9hxfrb0,rmll8r6,,false,CUSTOM,2hm6sf,,,,integrations/jc43lk7,[],,{},rmll8r6,"[""arn:aws:apigateway:sa-east-1::/apis/szo9hxfrb0/routes/rmll8r6""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
ANY /{proxy+},tbywoiirql,ps7ynd4,,false,NONE,,,,,integrations/fxhs4l7,[],,{},ps7ynd4,"[""arn:aws:apigateway:us-east-1::/apis/tbywoiirql/routes/ps7ynd4""]",aws,us-east-1,787345280606,aws_apppacienteprd,"{""connection_name"":""aws_apppacienteprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_apppacienteprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /sms-email-handler,z8upexe9o1,y9odfgd,,false,NONE,,,,,integrations/9t3v3u9,[],{},,y9odfgd,"[""arn:aws:apigateway:us-east-1::/apis/z8upexe9o1/routes/y9odfgd""]",aws,us-east-1,787345280606,aws_apppacienteprd,"{""connection_name"":""aws_apppacienteprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_apppacienteprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
openVideoRoom,6513rbn0zk,a3yk87b,,false,NONE,,,,,integrations/pd4ewnm,,,,a3yk87b,"[""arn:aws:apigateway:us-east-1::/apis/6513rbn0zk/routes/a3yk87b""]",aws,us-east-1,978569075048,aws_cockpitprd,"{""connection_name"":""aws_cockpitprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_cockpitprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
ping,5fkxceqzpk,v96dtup,,false,NONE,,,,,integrations/c5yg4up,,,,v96dtup,"[""arn:aws:apigateway:us-east-1::/apis/5fkxceqzpk/routes/v96dtup""]",aws,us-east-1,978569075048,aws_cockpitprd,"{""connection_name"":""aws_cockpitprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_cockpitprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
